60,josito,500,2024-02-01,True
62,Josep,333,2024-02-13,True
63,Josep,500,2024-01-31,True
66,Josep,500,2024-02-13,False
67,Josep,100,2024-01-30,True
70,calewi,125,2024-02-01,False
71,diego,250,2024-02-01,True
72,diego,250,2024-01-31,True
73,MarcosinER,500,2024-02-09,True
74,diego,2,2024-02-09,False
75,diego,14,2024-02-01,True
76,Motoreta,400,2024-02-16,False
77,Ratoli,123,2024-02-03,True
78,Dario,1466,2017-01-31,True
79,Motoreta,234,2024-03-01,True
80,Josito,456,2024-02-09,True
81,Motoreta,123,2024-02-11,False
82,Dario,679,2024-02-03,True
83,sergio,123,2024-02-16,True
84,Dario,13,2024-01-31,False
85,vicent,12,2024-02-02,True
86,Motoreta,12,2024-02-02,True
87,josito,211,2024-02-01,True
88,pepe,344,2024-02-08,True
